          *date       Overpass      wb_1st_00      wb_1st_01      wb_1st_05      wb_2nd_00      wb_2nd_01      wb_2nd_05     percent_cb           wwml          wwmax      max_wskew          wstar        wspd_cb   max_duration  mean_duration        num_cld     num_cld_30 min_ww_percent   LCL_mean_met      Hcb_vceil
       20101113           1900         0.4940         0.6000         1.0150         0.9560         0.9710         1.1970        87.4750         0.5190         0.7100         0.8417         1.4863         3.8130      2548.0000      1254.0000         4.0000         4.0000        93.7394         0.8960         0.9010
       20101114           2000         1.2570         1.2880         1.3980         1.6080         1.6090         1.6440         0.8940         0.6000         0.9110         2.3615         1.2863         0.9870      1078.0000       286.1667        12.0000         6.0000        63.0221         1.6790         1.5610
       20101124           1700         0.2910         0.3630         0.7080         0.5230         0.5390         0.9130        86.9660         0.5580         2.3580         4.5703      -999.0000           -NaN      2481.0000      1178.0000         4.0000         4.0000        84.6688         0.4120         5.5410
       20110422           1730         0.6630         0.7730         1.2010         1.2810         1.2930         1.4940        31.8980         0.9900         1.1460         0.7749         1.9620        22.8000       334.0000        66.6250        32.0000        16.0000        98.8314         1.2010         0.9030
       20110505           2100         0.9390         1.0380         1.4240         1.7960         1.8040         1.9610        37.5970         1.9800         3.0270         2.0245         2.5812         0.2470       422.0000       126.0000        20.0000        16.0000        43.8853         2.6130         2.4780
       20110510           2000         0.5640         0.6520         1.0520         1.0740         1.0860         1.3150        44.0530         0.9310         1.1670         1.0325         1.6689         8.6890      1302.0000       252.8182        11.0000         4.0000        93.2805         1.4290         1.2600
       20110514           2100         0.8760         0.9780         1.3600         1.6180         1.6270         1.7840         7.4770         1.4810         2.1360         1.4837         2.5194        11.7240        87.0000        27.4444        18.0000         6.0000        76.2430         2.0200         1.8400
       20110515           1630         1.1050         1.2040         1.5260         1.8930         1.8990         2.0050        10.7640         1.6080         2.0760         2.1771         2.3896         2.0510        94.0000        33.3500        20.0000         9.0000        44.7429         1.5830         1.3080
       20110520           2000         0.4440         0.5280         0.8710         0.7560         0.7680         0.9690        62.4370         0.2300         0.2220         0.6971         0.8745         6.3010      2570.0000      1713.3334         3.0000         3.0000        93.2095         0.4380         0.4510
       20110523           2000         0.7500         0.8370         1.2070         1.3990         1.4080         1.5890        28.2920         0.8600         1.0840         1.1065         1.3813         6.9340       376.0000       131.3500        20.0000        13.0000        93.3320         1.3200         1.3010
       20110523           1700         0.8250         0.9060         1.2180         1.3800         1.3860         1.5220        48.4250         0.9510         1.1460         0.8764         1.2692         5.9300       894.0000       273.6923        13.0000        10.0000        90.7394         1.0110         0.9790
       20110524           1800         0.9400         1.0210         1.3430         1.6200         1.6260         1.7540        35.4760         1.3360         1.5880         0.6669         1.7345        14.4510       464.0000        68.3939        33.0000        20.0000        93.3073         1.0250         0.8480
       20110525           1800         0.9440         1.0290         1.3820         1.6550         1.6610         1.7990        45.2890         1.2910         1.7160         0.7551         2.0389        10.3430      1046.0000       189.0000        17.0000        13.0000        93.1847         1.4970         1.4810
       20110527           2000         0.9290         1.0150         1.3890         1.7060         1.7140         1.8680        45.6540         1.4090         1.7330         1.1353         1.7259         6.7230       584.0000       215.8235        17.0000        15.0000        93.3245         1.2930         1.2140
       20110528           1800         0.3490         0.4380         0.8450         0.6590         0.6760         0.9690        78.5830         0.4010         0.5360         0.6842         1.4986         4.1320      1284.0000       531.1111         9.0000         6.0000        93.3666         1.0140         1.0500
       20110530           1800         0.5740         0.6580         0.9990         0.9910         1.0010         1.1830        88.3520         0.7360         0.8070         0.2013         1.1625        20.5800      2573.0000      1715.3334         3.0000         3.0000        93.2974         1.1130         1.1660
